x,Curve1
0.016,-0.442
1.378,0.048
2.115,0.429
2.947,1.333
3.588,2.19
4.206,3.429
4.777,4.524
5.276,5.571
5.941,6.905
6.678,8.571
7.201,10.143
7.7,11.381
8.555,13.048
9.149,14.095
9.672,15
10.219,15.619
11.098,16.095
11.811,16.19
12.999,15.857
13.617,15.571
14.544,15.095
15.732,13.905
16.73,12.714
17.633,11.095
18.512,9.667
19.344,7.952
20.128,6.571
20.627,5.381
21.031,4.381
21.744,2.476
22.125,1.429
22.386,0.667
22.6,-0.048
22.885,-0.714
23.146,-1.286
23.384,-2.048
23.978,-3.762
24.572,-5.333
24.905,-6.333
25.428,-7.857
25.76,-9.19
26.331,-11.143
26.782,-12.143
27.139,-13.048
27.471,-13.905
27.994,-14.905
28.327,-15.762
28.707,-16.381
29.301,-17.143
29.729,-17.762
30.822,-18.238
31.535,-18.667
32.533,-18.048
33.199,-17.81
34.007,-17.429
34.553,-17.143
35.029,-16.905
