x,Curve1
0.016,-0.442
1.813,-0.322
2.89,0.878
3.489,1.958
4.268,3.038
5.286,4.718
6.004,6.278
7.082,8.678
7.861,10.598
8.519,11.918
9.418,13.478
10.076,14.317
10.855,14.797
11.633,15.277
12.951,14.797
13.37,14.437
14.268,13.717
15.106,12.758
15.885,11.798
16.544,10.838
17.202,9.878
18.041,8.438
18.939,6.398
19.478,5.198
20.077,3.278
20.975,1.478
21.634,-0.682
22.292,-2.721
23.19,-5.121
23.669,-6.921
24.268,-8.481
25.107,-10.641
25.705,-12.921
26.664,-14.961
27.382,-16.401
27.921,-17.241
28.46,-18.081
29.897,-18.92
30.736,-19.28
31.454,-19.4
32.412,-19.04
33.73,-18.56
34.568,-17.721
34.987,-16.641
36.245,-15.321
37.083,-13.041
38.041,-11.841
38.939,-9.921
39.658,-8.121
